pruning,,rubik3_h0,rubik3_h0,rubik3_h2,rubik3_h2,rubik3_h1,rubik3_h1
rubik3.d=080,BLUE YELLOW ORANGE YELLOW WHITE ORANGE GREEN RED GREEN WHITE BLUE GREEN WHITE BLUE ORANGE GREEN YELLOW BLUE WHITE RED GREEN BLUE RED ORANGE YELLOW ORANGE RED ORANGE ORANGE BLUE ORANGE WHITE BLUE WHITE GREEN YELLOW BLUE YELLOW YELLOW GREEN YELLOW WHITE RED GREEN RED RED WHITE RED,"(False, '15636868', '868716')","(False, '20148415', '1119360')","(False, '15821461', '878972')","(False, '15035237', '835295')","(False, '20069641', '1114983')","(False, '19660146', '1092234')"
rubik3.d=080,GREEN WHITE RED WHITE WHITE YELLOW BLUE WHITE YELLOW YELLOW RED ORANGE GREEN BLUE ORANGE ORANGE BLUE GREEN YELLOW GREEN YELLOW RED GREEN BLUE WHITE BLUE BLUE ORANGE ORANGE RED ORANGE ORANGE GREEN WHITE RED YELLOW BLUE YELLOW YELLOW GREEN ORANGE GREEN RED BLUE WHITE RED WHITE RED,"(False, '14973427', '831859')","(False, '20774849', '1154166')","(False, '14543371', '807967')","(False, '15185307', '843633')","(False, '14573395', '809634')","(False, '16297142', '905401')"
rubik3.d=080,BLUE YELLOW RED GREEN GREEN GREEN YELLOW WHITE BLUE RED ORANGE BLUE GREEN WHITE BLUE BLUE GREEN RED WHITE YELLOW ORANGE GREEN WHITE ORANGE WHITE GREEN RED YELLOW BLUE WHITE YELLOW BLUE RED WHITE YELLOW ORANGE YELLOW RED ORANGE ORANGE WHITE RED GREEN BLUE RED ORANGE ORANGE YELLOW,"(False, '18820729', '1045604')","(False, '15454150', '858568')","(False, '15801589', '877867')","(False, '16422243', '912351')","(False, '15536773', '863156')","(False, '15768449', '876029')"
rubik3.d=080,GREEN WHITE RED RED YELLOW ORANGE ORANGE RED BLUE GREEN BLUE RED WHITE WHITE GREEN YELLOW YELLOW GREEN BLUE GREEN YELLOW GREEN WHITE BLUE RED BLUE BLUE WHITE WHITE BLUE RED ORANGE RED RED ORANGE ORANGE WHITE BLUE GREEN YELLOW YELLOW ORANGE ORANGE WHITE GREEN YELLOW ORANGE YELLOW,"(False, '14120677', '784483')","(False, '15751093', '875064')","(False, '21173563', '1176311')","(False, '15124224', '840239')","(False, '19088299', '1060464')","(False, '16149512', '897201')"
rubik3.d=080,YELLOW BLUE WHITE YELLOW YELLOW RED YELLOW RED BLUE ORANGE GREEN WHITE RED GREEN ORANGE GREEN GREEN WHITE WHITE WHITE ORANGE ORANGE ORANGE RED RED GREEN GREEN YELLOW RED YELLOW ORANGE YELLOW WHITE ORANGE RED WHITE BLUE BLUE BLUE BLUE GREEN GREEN YELLOW ORANGE BLUE RED WHITE BLUE,"(False, '15270679', '848373')","(False, '15153360', '841858')","(False, '14774041', '820782')","(False, '22124947', '1229167')","(False, '19547029', '1085948')","(False, '16323671', '906875')"
rubik3.d=080,WHITE BLUE GREEN WHITE YELLOW BLUE ORANGE YELLOW WHITE ORANGE RED WHITE ORANGE GREEN BLUE GREEN BLUE YELLOW GREEN ORANGE YELLOW GREEN BLUE YELLOW GREEN ORANGE WHITE BLUE ORANGE GREEN RED RED RED RED YELLOW RED WHITE YELLOW ORANGE RED YELLOW BLUE RED WHITE GREEN WHITE BLUE ORANGE,"(False, '19573174', '1087400')","(False, '15294856', '849718')","(False, '16176403', '898691')","(False, '21938228', '1218795')","(False, '15879529', '882198')","(False, '15804635', '878039')"
rubik3.d=010,BLUE WHITE WHITE WHITE RED BLUE RED BLUE YELLOW GREEN GREEN RED RED BLUE BLUE GREEN ORANGE ORANGE BLUE ORANGE YELLOW GREEN WHITE ORANGE GREEN GREEN GREEN RED RED YELLOW YELLOW YELLOW BLUE RED WHITE WHITE YELLOW YELLOW ORANGE WHITE ORANGE ORANGE WHITE RED GREEN BLUE ORANGE YELLOW,"(False, '21082573', '1171260')","(False, '16444600', '913594')","(False, '21398239', '1188793')","(False, '21394214', '1188571')","(False, '15866650', '881482')","(False, '16335799', '907549')"
rubik3.d=010,BLUE RED YELLOW WHITE WHITE ORANGE RED RED GREEN GREEN GREEN BLUE YELLOW YELLOW RED RED WHITE YELLOW YELLOW BLUE GREEN WHITE ORANGE ORANGE WHITE GREEN RED BLUE ORANGE RED ORANGE ORANGE BLUE GREEN GREEN WHITE RED YELLOW ORANGE BLUE BLUE GREEN BLUE YELLOW WHITE WHITE YELLOW ORANGE,"(False, '15693805', '871880')","(False, '15285635', '849206')","(False, '15329755', '851654')","(False, '16661622', '925650')","(False, '21054277', '1169685')","(False, '21860755', '1214491')"
rubik3.d=010,RED WHITE WHITE RED RED WHITE RED RED GREEN GREEN GREEN BLUE GREEN YELLOW GREEN YELLOW BLUE BLUE BLUE ORANGE ORANGE YELLOW ORANGE BLUE BLUE BLUE YELLOW GREEN YELLOW GREEN YELLOW GREEN YELLOW ORANGE BLUE ORANGE ORANGE ORANGE ORANGE YELLOW WHITE WHITE WHITE WHITE WHITE RED RED RED,"(False, '20292409', '1127359')","(False, '16509800', '917216')","(False, '21356623', '1186482')","(False, '16696024', '927562')","(False, '16006843', '889270')","(False, '16500176', '916681')"
rubik3.d=010,WHITE GREEN YELLOW YELLOW BLUE BLUE RED WHITE RED ORANGE YELLOW YELLOW GREEN GREEN GREEN RED RED BLUE ORANGE WHITE WHITE WHITE BLUE RED ORANGE ORANGE WHITE GREEN WHITE GREEN YELLOW RED ORANGE YELLOW RED RED BLUE WHITE GREEN YELLOW ORANGE BLUE BLUE BLUE YELLOW ORANGE GREEN ORANGE,"(False, '15986107', '888119')","(False, '15470084', '859454')","(False, '16230763', '901711')","(False, '21964243', '1220240')","(False, '19282465', '1071251')","(False, '16491332', '916190')"
rubik3.d=010,RED RED RED GREEN GREEN WHITE WHITE YELLOW BLUE BLUE GREEN BLUE BLUE ORANGE WHITE ORANGE YELLOW YELLOW BLUE YELLOW YELLOW RED ORANGE RED ORANGE BLUE YELLOW BLUE ORANGE ORANGE RED ORANGE GREEN GREEN BLUE GREEN GREEN WHITE ORANGE WHITE YELLOW YELLOW WHITE WHITE WHITE GREEN RED RED,"(True, '410023', '22779')","(True, '434140', '24121')","(True, '410023', '22779')","(True, '434140', '24121')","(True, '410023', '22779')","(True, '434140', '24121')"
rubik3.d=010,YELLOW RED RED BLUE WHITE WHITE ORANGE GREEN YELLOW GREEN GREEN ORANGE ORANGE ORANGE GREEN BLUE ORANGE ORANGE ORANGE YELLOW BLUE GREEN RED WHITE RED BLUE GREEN YELLOW BLUE BLUE WHITE GREEN GREEN YELLOW BLUE RED BLUE ORANGE WHITE RED YELLOW WHITE WHITE RED RED WHITE YELLOW YELLOW,"(False, '15177079', '843172')","(False, '15327123', '851511')","(False, '16207905', '900440')","(False, '16690268', '927242')","(False, '15877045', '882059')","(False, '16545133', '919178')"
rubik3.d=010,ORANGE ORANGE RED WHITE BLUE WHITE RED ORANGE YELLOW YELLOW YELLOW BLUE YELLOW GREEN WHITE GREEN GREEN YELLOW BLUE GREEN RED RED WHITE BLUE GREEN GREEN RED ORANGE WHITE WHITE GREEN WHITE BLUE BLUE GREEN BLUE ORANGE YELLOW ORANGE RED ORANGE YELLOW YELLOW ORANGE BLUE RED WHITE RED,"(False, '21272185', '1181791')","(False, '20939851', '1163329')","(False, '16128258', '896016')","(False, '22242845', '1235718')","(False, '15814513', '878585')","(False, '15176177', '843124')"
rubik3.d=010,ORANGE ORANGE WHITE WHITE RED WHITE WHITE ORANGE YELLOW GREEN GREEN GREEN GREEN GREEN GREEN GREEN ORANGE RED BLUE RED ORANGE ORANGE RED ORANGE YELLOW YELLOW YELLOW YELLOW YELLOW YELLOW GREEN YELLOW BLUE BLUE ORANGE BLUE BLUE WHITE WHITE WHITE WHITE RED RED BLUE BLUE BLUE RED RED,"(False, '15999895', '888885')","(False, '15403835', '855773')","(False, '16183207', '899069')","(False, '16563436', '920195')","(False, '15964926', '886942')","(False, '16510811', '917272')"
rubik3.d=010,ORANGE BLUE GREEN GREEN BLUE ORANGE GREEN ORANGE WHITE WHITE YELLOW BLUE RED YELLOW BLUE RED BLUE YELLOW WHITE YELLOW ORANGE GREEN RED BLUE RED RED GREEN ORANGE YELLOW WHITE GREEN RED ORANGE GREEN YELLOW WHITE WHITE GREEN RED YELLOW BLUE RED YELLOW BLUE WHITE WHITE ORANGE ORANGE,"(False, '20648683', '1147151')","(False, '16533738', '918545')","(False, '21476361', '1193134')","(False, '22000626', '1222265')","(False, '16018651', '889926')","(False, '16562816', '920160')"
rubik3.d=010,BLUE WHITE GREEN GREEN BLUE BLUE ORANGE ORANGE YELLOW ORANGE WHITE BLUE BLUE YELLOW YELLOW YELLOW WHITE ORANGE ORANGE RED RED WHITE BLUE WHITE GREEN RED GREEN BLUE YELLOW GREEN WHITE YELLOW YELLOW WHITE RED RED GREEN GREEN ORANGE YELLOW RED GREEN ORANGE ORANGE WHITE RED RED BLUE,"(False, '21231361', '1179523')","(False, '16482699', '915711')","(False, '21379591', '1187758')","(False, '15075242', '837540')","(False, '16031215', '890625')","(False, '16349173', '908292')"
rubik3.d=020,BLUE RED RED GREEN WHITE RED BLUE BLUE GREEN ORANGE GREEN GREEN WHITE ORANGE ORANGE BLUE YELLOW ORANGE WHITE WHITE ORANGE BLUE RED WHITE YELLOW YELLOW ORANGE YELLOW GREEN YELLOW BLUE GREEN RED GREEN YELLOW RED ORANGE WHITE RED RED YELLOW WHITE GREEN ORANGE BLUE BLUE WHITE YELLOW,"(False, '21166579', '1175923')","(False, '15270213', '848349')","(False, '15854041', '880781')","(False, '16175870', '898663')","(False, '14562625', '809036')","(False, '15136202', '840905')"
rubik3.d=020,BLUE BLUE GREEN WHITE RED WHITE ORANGE RED YELLOW GREEN RED BLUE RED GREEN WHITE BLUE ORANGE RED WHITE YELLOW WHITE RED GREEN ORANGE YELLOW YELLOW BLUE WHITE BLUE ORANGE GREEN GREEN YELLOW YELLOW BLUE RED ORANGE GREEN RED ORANGE ORANGE YELLOW YELLOW WHITE GREEN BLUE WHITE ORANGE,"(False, '19412947', '1078499')","(False, '16370213', '909461')","(False, '15850513', '880586')","(False, '16109735', '894988')","(False, '21066451', '1170361')","(False, '22036019', '1224229')"
rubik3.d=020,RED WHITE BLUE GREEN ORANGE GREEN ORANGE BLUE YELLOW BLUE BLUE ORANGE ORANGE WHITE GREEN ORANGE GREEN ORANGE RED WHITE YELLOW YELLOW WHITE RED BLUE YELLOW YELLOW BLUE YELLOW BLUE GREEN YELLOW GREEN RED WHITE GREEN ORANGE WHITE WHITE RED WHITE RED RED YELLOW BLUE GREEN RED ORANGE,"(False, '19131697', '1062874')","(False, '15285214', '849183')","(False, '20880217', '1160014')","(False, '15386282', '854797')","(False, '16002379', '889023')","(False, '22091290', '1227298')"
rubik3.d=020,GREEN ORANGE RED GREEN ORANGE YELLOW YELLOW ORANGE YELLOW WHITE ORANGE RED GREEN RED YELLOW WHITE BLUE RED RED WHITE BLUE BLUE WHITE BLUE WHITE GREEN ORANGE GREEN RED YELLOW YELLOW YELLOW BLUE BLUE WHITE BLUE BLUE WHITE RED RED ORANGE GREEN WHITE ORANGE GREEN ORANGE GREEN YELLOW,"(False, '19080577', '1060034')","(False, '21459669', '1192209')","(False, '15417599', '856535')","(False, '21182384', '1176804')","(False, '21094390', '1171913')","(False, '22096858', '1227608')"
rubik3.d=020,WHITE BLUE ORANGE ORANGE WHITE WHITE BLUE GREEN YELLOW GREEN ORANGE ORANGE GREEN RED GREEN ORANGE YELLOW WHITE GREEN BLUE BLUE WHITE WHITE RED GREEN BLUE YELLOW BLUE YELLOW RED BLUE YELLOW RED GREEN ORANGE YELLOW ORANGE WHITE RED RED RED YELLOW WHITE YELLOW BLUE GREEN RED ORANGE,"(False, '14566901', '809273')","(False, '20192040', '1121785')","(False, '15972391', '887357')","(False, '21986922', '1221499')","(False, '21285649', '1182538')","(False, '16394711', '910821')"
rubik3.d=020,RED GREEN RED YELLOW RED GREEN GREEN YELLOW YELLOW WHITE ORANGE RED WHITE WHITE ORANGE WHITE ORANGE WHITE RED ORANGE BLUE YELLOW GREEN ORANGE GREEN ORANGE WHITE RED BLUE RED BLUE BLUE BLUE ORANGE WHITE YELLOW ORANGE BLUE YELLOW RED GREEN BLUE WHITE GREEN YELLOW GREEN YELLOW BLUE,"(False, '15476995', '859835')","(False, '15583979', '865780')","(False, '14711779', '817322')","(False, '16292072', '905120')","(False, '15900679', '883372')","(False, '22020944', '1223390')"
rubik3.d=020,GREEN GREEN ORANGE YELLOW RED ORANGE ORANGE ORANGE BLUE RED WHITE GREEN YELLOW YELLOW RED YELLOW GREEN ORANGE GREEN GREEN YELLOW RED GREEN BLUE BLUE YELLOW WHITE RED BLUE BLUE RED WHITE YELLOW RED ORANGE BLUE WHITE GREEN ORANGE WHITE RED BLUE BLUE WHITE WHITE ORANGE YELLOW WHITE,"(False, '19350380', '1075024')","(False, '20890625', '1160597')","(False, '19645201', '1091402')","(False, '16705458', '928085')","(False, '15987455', '888193')","(False, '16369565', '909425')"
rubik3.d=020,YELLOW ORANGE WHITE BLUE BLUE GREEN RED RED GREEN RED WHITE YELLOW RED YELLOW GREEN BLUE BLUE YELLOW GREEN RED ORANGE WHITE YELLOW GREEN ORANGE ORANGE WHITE WHITE RED YELLOW RED WHITE YELLOW WHITE WHITE ORANGE BLUE ORANGE ORANGE GREEN BLUE BLUE GREEN BLUE ORANGE GREEN YELLOW RED,"(False, '15777155', '876510')","(False, '16250162', '902791')","(False, '21165265', '1175850')","(False, '16499184', '916626')","(False, '14921245', '828959')","(False, '15250850', '847274')"
rubik3.d=020,RED RED GREEN ORANGE BLUE WHITE YELLOW GREEN RED GREEN WHITE WHITE ORANGE YELLOW ORANGE BLUE WHITE BLUE YELLOW ORANGE YELLOW GREEN BLUE RED GREEN ORANGE YELLOW GREEN ORANGE YELLOW BLUE YELLOW ORANGE YELLOW WHITE WHITE GREEN RED RED WHITE RED BLUE WHITE RED GREEN BLUE BLUE ORANGE,"(False, '15855247', '880849')","(False, '16291939', '905113')","(False, '16256593', '903146')","(False, '16610239', '922795')","(False, '21390718', '1188375')","(False, '20290765', '1127269')"
rubik3.d=020,YELLOW BLUE RED ORANGE GREEN ORANGE YELLOW WHITE BLUE YELLOW YELLOW BLUE WHITE YELLOW GREEN GREEN ORANGE WHITE RED GREEN YELLOW GREEN WHITE WHITE RED BLUE GREEN ORANGE ORANGE ORANGE BLUE YELLOW BLUE WHITE WHITE RED GREEN YELLOW ORANGE GREEN BLUE RED ORANGE RED WHITE RED RED BLUE,"(False, '20892241', '1160683')","(False, '15202215', '844571')","(False, '21663469', '1203528')","(False, '16783007', '932393')","(False, '21205603', '1178092')","(False, '15169145', '842735')"
