pruning,,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h1
algorithm,,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar
info,,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t
file,instance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topspin_17_4.d=2000000,9 15 10 3 11 8 13 0 14 12 2 1 4 7 5 6 16,0,92241864,5425992,7,17.78796124458313,0,98584075,5799067,7,18.501585960388184,0,34149311,2008783,15,65.61266827583313,0,97060196,5709429,13,76.48436546325684,0,91842805,5402518,7,17.672386407852173,0,98396658,5788042,7,17.133211851119995,0,34007390,2000435,15,61.581321477890015,0,96914570,5700862,13,75.50745868682861
topspin_17_4.d=2000000,15 2 13 6 1 4 8 0 11 7 14 9 12 5 10 3 16,0,92481293,5440076,7,17.894129514694214,0,99178259,5834018,7,18.67487907409668,0,32743989,1926117,14,64.38971781730652,0,96987046,5705126,13,77.24018335342407,0,92374878,5433817,7,16.60503578186035,0,98893359,5817259,7,17.347322940826416,0,32651560,1920680,14,61.443546533584595,0,96917988,5701065,13,76.09823203086853
topspin_17_4.d=2000000,7 10 3 2 5 6 8 13 12 0 15 4 1 14 11 9 16,0,92434055,5437298,7,17.80307102203369,0,98933981,5819649,7,18.55353569984436,0,34714880,2042052,15,66.02963900566101,0,96995520,5705625,13,75.3296868801117,0,92374878,5433817,7,16.632424354553223,0,98837927,5814000,7,17.50541043281555,0,34635239,2037367,15,63.55653929710388,0,96940624,5702394,13,77.41766500473022
topspin_17_4.d=2000000,5 3 6 9 10 8 14 12 11 4 2 0 7 15 1 13 16,0,92503524,5441384,7,17.872836112976074,0,98910754,5818283,7,18.597635984420776,0,33083921,1946114,14,63.7359414100647,0,97108932,5712296,12,76.38452005386353,0,92423204,5436660,7,16.64280104637146,0,98834746,5813811,7,18.486095905303955,0,33167544,1951033,14,62.79231262207031,0,96983746,5704932,12,76.36985492706299
topspin_17_4.d=2000000,6 3 8 14 10 7 0 13 12 15 1 5 11 4 9 2 16,0,92481293,5440076,7,16.690801858901978,0,98891029,5817122,7,18.565412521362305,0,33497463,1970439,15,62.8380389213562,0,97145566,5714452,13,77.86625075340271,0,92481293,5440076,7,17.80549144744873,0,98809062,5812301,7,18.450255870819092,0,33564239,1974368,15,64.85885739326477,0,96981396,5704793,13,77.21090960502625
topspin_17_4.d=2000000,15 5 12 2 3 7 4 1 6 9 10 13 11 14 0 8 16,0,92481293,5440076,7,17.80353546142578,0,98933497,5819621,7,18.55138611793518,0,33950819,1997107,14,62.896138191223145,0,97151278,5714787,12,77.82816290855408,0,92418176,5436364,7,16.521066188812256,0,98842862,5814290,7,18.51703953742981,0,34012156,2000716,14,61.680030822753906,0,96932523,5701919,12,78.32646822929382
topspin_17_4.d=2000000,8 11 12 0 14 7 2 10 4 13 6 15 3 1 5 9 16,0,92507898,5441641,7,17.8603675365448,0,98900313,5817669,7,18.66004228591919,0,34423164,2024892,15,62.53693103790283,0,97140227,5714137,13,77.71977591514587,0,92412341,5436020,7,17.705058097839355,0,98783101,5810774,7,17.298246145248413,0,34433381,2025493,15,62.35115838050842,0,97056663,5709222,13,75.76756882667542
