pruning,,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
topspin_14_4.d=005,9 8 11 1 2 3 10 6 5 4 0 7 12 13,"(True, '2475089', '176792')","(True, '2665477', '190393')","(True, '2475089', '176792')","(True, '2665477', '190393')","(True, '2475089', '176792')","(True, '2665477', '190393')"
topspin_14_4.d=005,5 6 2 1 4 8 9 10 11 12 0 7 3 13,"(True, '966155', '69011')","(True, '1040473', '74323')","(True, '966155', '69011')","(True, '1040473', '74323')","(True, '966155', '69011')","(True, '1040473', '74323')"
topspin_14_4.d=005,0 7 1 11 12 8 5 4 3 2 6 10 9 13,"(True, '1922747', '137339')","(True, '2070647', '147905')","(True, '1922747', '137339')","(True, '2070647', '147905')","(True, '1922747', '137339')","(True, '2070647', '147905')"
topspin_14_4.d=005,6 7 3 8 4 5 0 10 9 12 11 1 2 13,"(True, '8094983', '578213')","(True, '8717669', '622691')","(True, '8094983', '578213')","(True, '8717669', '622691')","(True, '8094983', '578213')","(True, '8717669', '622691')"
topspin_14_4.d=005,10 9 2 12 4 3 1 11 5 6 7 8 0 13,"(True, '2842953', '203068')","(True, '3061638', '218690')","(True, '2842953', '203068')","(True, '3061638', '218690')","(True, '2842953', '203068')","(True, '3061638', '218690')"
topspin_14_4.d=005,3 4 1 0 5 6 7 10 11 12 8 9 2 13,"(True, '4689259', '334947')","(True, '5049967', '360713')","(True, '4689259', '334947')","(True, '5049967', '360713')","(True, '4689259', '334947')","(True, '5049967', '360713')"
topspin_14_4.d=005,12 7 1 2 3 11 10 5 4 8 9 6 0 13,"(True, '3571807', '255129')","(True, '3846558', '274756')","(True, '3571807', '255129')","(True, '3846558', '274756')","(True, '3571807', '255129')","(True, '3846558', '274756')"
topspin_14_4.d=005,8 7 6 9 12 11 0 10 1 2 3 4 5 13,"(True, '2384719', '170337')","(True, '2568155', '183441')","(True, '2384719', '170337')","(True, '2568155', '183441')","(True, '2384719', '170337')","(True, '2568155', '183441')"
topspin_14_4.d=005,6 11 0 1 2 3 4 7 8 12 5 10 9 13,"(True, '4793909', '342422')","(True, '5162667', '368763')","(True, '4793909', '342422')","(True, '5162667', '368763')","(True, '4793909', '342422')","(True, '5162667', '368763')"
topspin_14_4.d=005,0 1 5 10 9 2 6 4 3 8 7 11 12 13,"(True, '2393469', '170962')","(True, '2577580', '184116')","(True, '2393469', '170962')","(True, '2577580', '184116')","(True, '2393469', '170962')","(True, '2577580', '184116')"
topspin_14_4.d=2000000,0 11 9 12 8 7 4 1 2 5 3 10 6 13,"(False, '19286345', '1377598')","(False, '19276840', '1376924')","(False, '20024537', '1430327')","(False, '19648937', '1403501')","(False, '19985617', '1427546')","(False, '25448985', '1817793')"
topspin_14_4.d=2000000,2 1 7 6 4 0 11 5 8 9 12 10 3 13,"(False, '17774149', '1269588')","(False, '26312847', '1879497')","(False, '18568747', '1326343')","(False, '20307904', '1450570')","(False, '26349756', '1882141')","(False, '20025182', '1430373')"
topspin_14_4.d=2000000,7 4 12 11 0 3 8 9 2 6 1 10 5 13,"(False, '19406815', '1386203')","(False, '18515605', '1322549')","(False, '19085683', '1363266')","(False, '26085201', '1863235')","(False, '26319833', '1879994')","(False, '19751416', '1410822')"
topspin_14_4.d=2000000,3 6 12 2 8 1 7 5 9 0 4 11 10 13,"(False, '18685773', '1334701')","(False, '26308595', '1879192')","(False, '25529729', '1823556')","(False, '26217109', '1872659')","(False, '19696993', '1406931')","(False, '20192386', '1442320')"
topspin_14_4.d=2000000,5 7 12 6 0 3 9 8 1 2 10 4 11 13,"(False, '18759119', '1339939')","(False, '26382035', '1884437')","(False, '25785593', '1841836')","(False, '26210029', '1872154')","(False, '19731373', '1409386')","(False, '26262762', '1875919')"
topspin_14_4.d=2000000,8 11 0 2 4 1 12 6 9 3 5 7 10 13,"(False, '24914760', '1779630')","(False, '25627647', '1830554')","(False, '19428263', '1387736')","(False, '18930145', '1352158')","(False, '25493441', '1820963')","(False, '25417369', '1815534')"
topspin_14_4.d=2000000,2 1 11 8 12 4 3 7 6 5 0 10 9 13,"(False, '18393414', '1313818')","(False, '18196065', '1299724')","(False, '26339839', '1881421')","(False, '26803782', '1914563')","(False, '25678591', '1834188')","(False, '24526243', '1751881')"
topspin_14_4.d=2000000,10 11 3 2 5 9 8 7 12 6 0 4 1 13,"(False, '17636287', '1259738')","(False, '25959761', '1854277')","(False, '19833563', '1416686')","(False, '19723990', '1408861')","(False, '23115928', '1651141')","(False, '25496221', '1821165')"
topspin_14_4.d=2000000,3 6 11 8 5 12 7 0 9 1 4 2 10 13,"(False, '25302033', '1807291')","(False, '19690987', '1406506')","(False, '18985863', '1356136')","(False, '19990861', '1427925')","(False, '25082863', '1791640')","(False, '19663079', '1404511')"
topspin_14_4.d=2000000,6 10 12 5 4 8 7 0 9 3 1 11 2 13,"(False, '26520388', '1894318')","(False, '27096696', '1935484')","(False, '19890781', '1420772')","(False, '27141105', '1938657')","(False, '18963715', '1354554')","(False, '25619648', '1829983')"
topspin_14_4.d=010,7 3 8 1 4 5 6 12 10 0 2 11 9 13,"(False, '18693179', '1335230')","(False, '20014806', '1429633')","(False, '19782139', '1413011')","(False, '19903116', '1421658')","(False, '20041331', '1431527')","(False, '19104485', '1364614')"
topspin_14_4.d=010,9 7 1 0 3 4 5 10 2 6 12 8 11 13,"(False, '26077871', '1862709')","(False, '26555801', '1896851')","(False, '19921356', '1422956')","(False, '19878966', '1419932')","(False, '18683197', '1334517')","(False, '20220970', '1444359')"
topspin_14_4.d=010,7 2 0 3 4 8 1 6 5 9 10 12 11 13,"(False, '18997931', '1356998')","(False, '19738209', '1409878')","(False, '26953249', '1925236')","(False, '20013045', '1429510')","(False, '19539353', '1395670')","(False, '26451661', '1889414')"
topspin_14_4.d=010,9 6 11 3 1 0 12 7 8 2 10 5 4 13,"(False, '20252429', '1446604')","(False, '19106062', '1364724')","(False, '25817639', '1844121')","(False, '20526581', '1466191')","(False, '26754113', '1911012')","(False, '25726116', '1837590')"
topspin_14_4.d=010,4 9 10 1 5 8 11 12 2 3 7 6 0 13,"(False, '19728780', '1409202')","(False, '19567115', '1397657')","(False, '19993231', '1428089')","(False, '27308468', '1950613')","(False, '20531453', '1466535')","(False, '19740953', '1410075')"
topspin_14_4.d=010,9 12 11 0 7 1 2 3 8 6 5 4 10 13,"(False, '18986339', '1356169')","(False, '20630566', '1473617')","(False, '26559901', '1897139')","(False, '26100518', '1864330')","(False, '26550052', '1896437')","(False, '19284793', '1377491')"
topspin_14_4.d=010,9 5 3 11 10 6 0 4 7 1 2 12 8 13,"(False, '20103021', '1435932')","(False, '27543857', '1967424')","(False, '26307727', '1879127')","(False, '20367459', '1454824')","(False, '19971407', '1426532')","(False, '20261005', '1447221')"
topspin_14_4.d=010,4 10 2 5 6 7 0 12 11 9 3 8 1 13,"(False, '20284239', '1448877')","(False, '20509664', '1464982')","(False, '20207803', '1443415')","(False, '26639187', '1902807')","(False, '25485461', '1820394')","(False, '20472861', '1462353')"
topspin_14_4.d=010,4 5 6 3 10 11 1 7 8 9 2 12 0 13,"(False, '19149537', '1367827')","(False, '19414055', '1386724')","(False, '26733799', '1909562')","(False, '20621083', '1472941')","(False, '20047061', '1431935')","(False, '20226941', '1444787')"
topspin_14_4.d=010,0 7 6 5 4 8 9 1 10 2 3 12 11 13,"(False, '19179119', '1369940')","(False, '19294088', '1378157')","(False, '19626419', '1401889')","(False, '20675381', '1476818')","(True, '20307771', '1450555')","(False, '19227689', '1373414')"
topspin_14_4.d=2000,7 5 8 0 12 4 10 11 6 2 1 3 9 13,"(False, '25678171', '1834159')","(False, '26269561', '1876411')","(False, '26766867', '1911926')","(False, '20533245', '1466667')","(False, '19584237', '1398876')","(False, '19915148', '1422518')"
topspin_14_4.d=2000,3 7 12 5 1 10 4 9 11 2 8 0 6 13,"(False, '26241419', '1874392')","(False, '19363335', '1383099')","(False, '18710357', '1336457')","(False, '19532695', '1395198')","(False, '20481087', '1462937')","(False, '26278525', '1877045')"
topspin_14_4.d=2000,12 9 4 7 3 11 8 5 1 6 10 2 0 13,"(False, '20096420', '1435462')","(False, '19304084', '1378870')","(False, '19239963', '1374285')","(False, '20499282', '1464240')","(False, '19817782', '1415558')","(False, '21095809', '1506849')"
topspin_14_4.d=2000,3 9 11 8 0 7 12 5 1 2 4 10 6 13,"(False, '19415845', '1386849')","(False, '27311951', '1950862')","(False, '25181997', '1798718')","(False, '26180533', '1870047')","(False, '19767917', '1411997')","(False, '21042995', '1503077')"
topspin_14_4.d=2000,2 12 5 4 6 10 0 8 3 1 11 7 9 13,"(False, '26951723', '1925126')","(False, '26795372', '1913964')","(False, '20177613', '1441260')","(False, '20389748', '1456416')","(False, '27694518', '1978183')","(False, '20817791', '1486991')"
topspin_14_4.d=2000,11 3 6 10 12 8 2 7 1 9 0 5 4 13,"(False, '24490439', '1749322')","(False, '19441524', '1388685')","(False, '20133093', '1438081')","(False, '20236803', '1445493')","(False, '27151685', '1939411')","(False, '20411770', '1457990')"
topspin_14_4.d=2000,9 4 11 12 5 8 6 10 0 2 3 1 7 13,"(False, '25409305', '1814955')","(False, '19380780', '1384355')","(False, '18884713', '1348911')","(False, '26932238', '1923739')","(False, '20281353', '1448671')","(False, '26138589', '1867050')"
topspin_14_4.d=2000,3 9 2 6 0 7 10 4 5 12 1 8 11 13,"(False, '25882921', '1848782')","(False, '18726879', '1337640')","(False, '18866429', '1347604')","(False, '19249174', '1374948')","(False, '25477173', '1819801')","(False, '27304697', '1950343')"
topspin_14_4.d=2000,10 5 9 3 2 6 1 8 11 7 4 12 0 13,"(False, '24944949', '1781787')","(False, '19756618', '1411194')","(False, '18294515', '1306753')","(False, '18940714', '1352912')","(False, '19235917', '1373996')","(False, '20322038', '1451580')"
topspin_14_4.d=2000,9 5 7 6 2 12 1 3 11 4 10 8 0 13,"(False, '17924621', '1280333')","(False, '18568032', '1326297')","(False, '16829023', '1202076')","(False, '22406390', '1600466')","(False, '25819501', '1844253')","(False, '26361682', '1882988')"
topspin_14_4.d=015,4 5 2 10 1 11 0 3 8 7 9 12 6 13,"(False, '19151175', '1367944')","(False, '26315758', '1879705')","(False, '17469117', '1247797')","(False, '18648720', '1332057')","(False, '18684541', '1334612')","(False, '25662925', '1833074')"
topspin_14_4.d=015,8 5 10 0 6 2 1 4 12 11 9 7 3 13,"(False, '26682545', '1905900')","(False, '20111001', '1436504')","(False, '19682125', '1405869')","(False, '25508554', '1822048')","(False, '18567249', '1326235')","(False, '24383559', '1741690')"
topspin_14_4.d=015,4 10 5 11 3 6 7 8 2 0 12 1 9 13,"(False, '18435285', '1316814')","(False, '18776647', '1341194')","(False, '26885433', '1920392')","(False, '24334347', '1738175')","(False, '18031651', '1287978')","(False, '18642478', '1331611')"
topspin_14_4.d=015,1 11 7 3 2 9 5 6 12 8 0 4 10 13,"(False, '20092871', '1435208')","(False, '20351768', '1453703')","(False, '25742767', '1838774')","(False, '19611243', '1400811')","(False, '19292463', '1378035')","(False, '26735753', '1909704')"
topspin_14_4.d=015,11 7 8 9 2 6 10 5 12 3 0 4 1 13,"(False, '19710840', '1407920')","(False, '27342164', '1953029')","(False, '18983665', '1355984')","(False, '20225780', '1444705')","(False, '25974803', '1855348')","(False, '19302878', '1378785')"
topspin_14_4.d=015,2 1 0 7 4 9 8 3 10 12 11 5 6 13,"(False, '19195890', '1371137')","(False, '18954239', '1353881')","(False, '25345469', '1810398')","(False, '19931841', '1423709')","(False, '19464187', '1390303')","(False, '19220648', '1372911')"
topspin_14_4.d=015,1 9 8 3 12 4 5 6 0 7 2 10 11 13,"(False, '26636471', '1902609')","(False, '20350361', '1453603')","(False, '18993605', '1356688')","(False, '19051699', '1360842')","(False, '19126241', '1366163')","(False, '25611983', '1829436')"
topspin_14_4.d=015,3 7 8 6 9 0 4 11 12 5 2 1 10 13,"(False, '19345614', '1381832')","(False, '19513291', '1393813')","(False, '20125470', '1437536')","(False, '27200561', '1942905')","(False, '18821643', '1344406')","(False, '20174232', '1441021')"
topspin_14_4.d=015,6 0 7 9 5 12 2 3 1 8 11 10 4 13,"(False, '26636765', '1902630')","(False, '20393385', '1456677')","(False, '19718287', '1408451')","(False, '27024524', '1930331')","(False, '19729697', '1409267')","(False, '19880975', '1420076')"
topspin_14_4.d=015,11 9 0 6 7 8 2 10 5 1 3 4 12 13,"(False, '20217905', '1444137')","(False, '19141991', '1367290')","(False, '19562495', '1397325')","(False, '18881391', '1348678')","(False, '19388951', '1384928')","(False, '20026463', '1430467')"
