pruning,,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h2,topspin_17_4_h2
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
topspin_17_4.d=2000000,9 15 10 3 11 8 13 0 14 12 2 1 4 7 5 6 16,"(False, '17244291', '1014372')","(False, '24234636', '1425573')","(False, '23765202', '1397957')","(False, '17432821', '1025465')","(False, '23223497', '1366090')","(False, '18548108', '1091069')"
topspin_17_4.d=2000000,7 10 3 2 5 6 8 13 12 0 15 4 1 14 11 9 16,"(False, '17880839', '1051816')","(False, '17216162', '1012720')","(False, '18398251', '1082252')","(False, '24923628', '1466100')","(False, '17634152', '1037305')","(False, '17853407', '1050206')"
topspin_17_4.d=2000000,15 2 13 6 1 4 8 0 11 7 14 9 12 5 10 3 16,"(False, '16838620', '990510')","(False, '23778020', '1398712')","(False, '18687574', '1099271')","(False, '18121616', '1065981')","(False, '18103336', '1064905')","(False, '17972709', '1057222')"
topspin_17_4.d=2000000,5 3 6 9 10 8 14 12 11 4 2 0 7 15 1 13 16,"(False, '23219179', '1365837')","(False, '22540220', '1325899')","(False, '24947484', '1467502')","(False, '18473203', '1086663')","(False, '23768653', '1398160')","(False, '16882798', '993130')"
topspin_17_4.d=2000000,8 11 12 0 14 7 2 10 4 13 6 15 3 1 5 9 16,"(False, '16808955', '988764')","(False, '23055003', '1356182')","(False, '17426922', '1025116')","(False, '18127685', '1066345')","(False, '16965751', '998013')","(False, '22789448', '1340559')"
topspin_17_4.d=2000000,9 4 2 15 10 7 0 3 5 12 8 1 14 13 6 11 16,"(False, '24171519', '1421857')","(False, '17256007', '1015063')","(False, '22858762', '1344636')","(False, '18791849', '1105407')","(False, '23613783', '1389050')","(False, '23817626', '1401043')"
topspin_17_4.d=2000000,15 5 12 2 3 7 4 1 6 9 10 13 11 14 0 8 16,"(False, '23127821', '1360463')","(False, '18362968', '1080180')","(False, '24527541', '1442800')","(False, '18700953', '1100060')","(False, '23713233', '1394899')","(False, '16539341', '972906')"
topspin_17_4.d=2000000,10 7 1 4 11 12 0 13 8 9 5 15 6 3 2 14 16,"(False, '25171595', '1480685')","(False, '25431401', '1495970')","(False, '17169236', '1009958')","(False, '18493758', '1087873')","(False, '17063426', '1003733')","(False, '22579640', '1328220')"
topspin_17_4.d=2000000,6 3 8 14 10 7 0 13 12 15 1 5 11 4 9 2 16,"(False, '18836698', '1108043')","(False, '25439945', '1496473')","(False, '17669699', '1039396')","(False, '18347434', '1079265')","(False, '16428959', '966411')","(False, '16514940', '971472')"
topspin_17_4.d=2000000,2 9 3 14 13 15 5 7 11 12 1 4 0 10 6 8 16,"(False, '18893125', '1111362')","(False, '23911532', '1406565')","(False, '18136264', '1066841')","(False, '18263696', '1074340')","(False, '24163155', '1421366')","(False, '24129853', '1419407')"
topspin_17_4.d=005,15 14 1 0 2 3 4 5 10 11 7 6 9 8 12 13 16,"(True, '2230758', '131221')","(True, '2370177', '139424')","(True, '2230758', '131221')","(True, '2370177', '139424')","(True, '2230758', '131221')","(True, '2370177', '139424')"
topspin_17_4.d=005,3 7 6 5 10 9 8 4 14 13 12 11 0 1 2 15 16,"(True, '7314540', '430267')","(True, '7771696', '457161')","(True, '7314540', '430267')","(True, '7771696', '457161')","(True, '7314540', '430267')","(True, '7771696', '457161')"
topspin_17_4.d=005,12 11 10 0 13 14 15 1 2 3 4 7 8 9 5 6 16,"(True, '6750752', '397103')","(True, '7172670', '421923')","(True, '6750752', '397103')","(True, '7172670', '421923')","(True, '6750752', '397103')","(True, '7172670', '421923')"
topspin_17_4.d=005,0 1 2 3 8 6 5 4 13 14 7 9 10 12 11 15 16,"(True, '7819389', '459964')","(True, '8308098', '488714')","(True, '7819389', '459964')","(True, '8308098', '488714')","(True, '7819389', '459964')","(True, '8308098', '488714')"
topspin_17_4.d=005,4 5 6 7 8 9 10 11 12 15 3 0 13 14 2 1 16,"(True, '16861400', '991847')","(False, '17870362', '1051201')","(True, '16861400', '991847')","(True, '17915233', '1053838')","(True, '16861400', '991847')","(True, '17915233', '1053838')"
topspin_17_4.d=005,15 14 1 0 2 3 4 5 6 7 8 9 10 11 12 13 16,"(True, '10082', '593')","(True, '10710', '631')","(True, '10082', '593')","(True, '10710', '631')","(True, '10082', '593')","(True, '10710', '631')"
topspin_17_4.d=005,15 3 2 1 14 4 5 10 11 7 6 13 12 8 9 0 16,"(True, '3570001', '210000')","(True, '3793123', '223127')","(True, '3570001', '210000')","(True, '3793123', '223127')","(True, '3570001', '210000')","(True, '3793123', '223127')"
topspin_17_4.d=005,9 8 14 15 13 12 10 0 1 2 3 4 5 6 7 11 16,"(True, '5684529', '334384')","(True, '6039808', '355284')","(True, '5684529', '334384')","(True, '6039808', '355284')","(True, '5684529', '334384')","(True, '6039808', '355284')"
topspin_17_4.d=005,0 3 4 5 6 7 8 9 2 13 14 10 1 11 12 15 16,"(True, '13834686', '813805')","(True, '14699350', '864669')","(True, '13834686', '813805')","(True, '14699350', '864669')","(True, '13834686', '813805')","(True, '14699350', '864669')"
topspin_17_4.d=005,0 1 4 5 9 8 11 10 6 14 13 12 7 15 2 3 16,"(True, '14812645', '871332')","(True, '15738432', '925792')","(True, '14812645', '871332')","(True, '15738432', '925792')","(True, '14812645', '871332')","(True, '15738432', '925792')"
topspin_17_4.d=2000,2 7 8 13 14 4 9 11 3 10 1 6 5 0 12 15 16,"(False, '23683704', '1393162')","(False, '24271501', '1427741')","(False, '18098575', '1064624')","(False, '25614258', '1506725')","(False, '22957375', '1350437')","(False, '19014753', '1118519')"
topspin_17_4.d=2000,9 0 1 11 4 10 7 5 14 2 3 13 8 6 15 12 16,"(False, '17761754', '1044812')","(False, '17702112', '1041305')","(False, '17948890', '1055819')","(False, '23859783', '1403521')","(False, '18358403', '1079908')","(False, '17983908', '1057881')"
topspin_17_4.d=2000,12 10 6 8 15 3 2 11 14 5 13 7 9 0 1 4 16,"(False, '17114921', '1006762')","(False, '17898038', '1052829')","(False, '18950649', '1114748')","(False, '19213585', '1130215')","(False, '18975741', '1116222')","(False, '19158852', '1126995')"
topspin_17_4.d=2000,2 9 11 13 0 1 5 3 4 12 14 15 8 6 10 7 16,"(False, '23845680', '1402691')","(False, '17254779', '1014992')","(False, '19043291', '1120196')","(False, '19223625', '1130804')","(False, '18206117', '1070950')","(False, '17920696', '1054162')"
topspin_17_4.d=2000,7 1 14 4 2 5 15 12 9 3 8 13 10 11 6 0 16,"(False, '16808063', '988711')","(False, '17536229', '1031547')","(False, '18922531', '1113092')","(False, '19108335', '1124023')","(False, '17757789', '1044578')","(False, '24306430', '1429800')"
topspin_17_4.d=2000,1 9 0 8 2 12 3 11 6 4 15 13 7 10 14 5 16,"(False, '17318668', '1018747')","(False, '23031420', '1354797')","(False, '18983782', '1116695')","(False, '25508374', '1500498')","(False, '24184337', '1422611')","(False, '19201664', '1129514')"
topspin_17_4.d=2000,7 10 4 14 9 3 1 5 0 11 13 2 8 6 12 15 16,"(False, '17489362', '1028788')","(False, '17818007', '1048123')","(False, '18838147', '1108129')","(False, '25238060', '1484597')","(False, '25352747', '1491341')","(False, '23961619', '1409511')"
topspin_17_4.d=2000,13 6 2 15 5 12 9 0 1 7 8 3 14 10 4 11 16,"(False, '17722807', '1042520')","(False, '24094453', '1417326')","(False, '24878719', '1463458')","(False, '24760723', '1456518')","(False, '18928940', '1113469')","(False, '17716817', '1042170')"
topspin_17_4.d=2000,3 13 4 12 14 5 10 11 1 9 6 8 15 0 7 2 16,"(False, '17190129', '1011186')","(False, '24979225', '1469371')","(False, '18200643', '1070629')","(False, '18400075', '1082361')","(False, '17815491', '1047973')","(False, '24989485', '1469975')"
topspin_17_4.d=2000,4 13 2 10 0 14 11 6 3 8 15 12 7 1 5 9 16,"(False, '24961452', '1468324')","(False, '17515512', '1030329')","(False, '18290245', '1075899')","(False, '18236615', '1072746')","(False, '18420504', '1083561')","(False, '18647020', '1096889')"
topspin_17_4.d=015,0 10 3 7 6 5 12 9 8 13 14 1 4 11 2 15 16,"(False, '18556742', '1091575')","(False, '18493613', '1087863')","(False, '18096569', '1064506')","(False, '24494843', '1440878')","(False, '17256463', '1015088')","(False, '17563075', '1033126')"
topspin_17_4.d=015,13 6 5 0 2 1 12 11 3 15 8 7 9 10 14 4 16,"(False, '18456085', '1085654')","(False, '23270711', '1368870')","(False, '24635840', '1449170')","(False, '18516019', '1089182')","(False, '23066383', '1356849')","(False, '18511623', '1088924')"
topspin_17_4.d=015,13 1 2 6 14 3 7 9 5 4 10 11 12 15 0 8 16,"(False, '24318348', '1430495')","(False, '18601269', '1094197')","(False, '18679720', '1098809')","(False, '23518808', '1383463')","(False, '17205769', '1012105')","(False, '17285746', '1016812')"
topspin_17_4.d=015,5 12 14 7 8 11 13 15 1 2 3 4 0 9 10 6 16,"(False, '17807229', '1047485')","(False, '25236652', '1484514')","(False, '18721455', '1101263')","(False, '17472486', '1027797')","(False, '17180490', '1010620')","(False, '17395251', '1023254')"
topspin_17_4.d=015,1 14 2 4 0 5 6 7 8 9 10 3 13 12 11 15 16,"(False, '24789350', '1458200')","(False, '25504229', '1500253')","(False, '18883737', '1110810')","(False, '23288539', '1369919')","(False, '22995867', '1352701')","(False, '17975870', '1057408')"
topspin_17_4.d=015,9 14 1 7 3 6 10 5 4 2 12 15 11 8 0 13 16,"(False, '25377465', '1492795')","(False, '18878255', '1110490')","(False, '17521799', '1030695')","(False, '17719274', '1042314')","(False, '23607629', '1388687')","(False, '17241530', '1014212')"
topspin_17_4.d=015,9 10 13 12 2 3 11 1 14 15 7 6 5 4 8 0 16,"(False, '18276718', '1075103')","(False, '22900430', '1347089')","(False, '18847884', '1108702')","(False, '17620563', '1036507')","(False, '17085459', '1005028')","(False, '23668635', '1392277')"
topspin_17_4.d=015,13 1 15 14 3 4 0 7 6 5 12 2 8 9 10 11 16,"(False, '24094220', '1417310')","(False, '24498999', '1441123')","(False, '17616110', '1036243')","(False, '25581501', '1504798')","(False, '18379381', '1081141')","(False, '17650185', '1038250')"
topspin_17_4.d=015,6 7 12 10 9 14 2 15 8 0 1 11 13 5 4 3 16,"(False, '24408100', '1435775')","(False, '18303055', '1076656')","(False, '18731681', '1101865')","(False, '17960827', '1056524')","(False, '18626017', '1095650')","(False, '18826488', '1107445')"
topspin_17_4.d=015,13 12 11 1 14 2 3 10 9 7 6 8 4 15 5 0 16,"(False, '18168496', '1068738')","(False, '24097690', '1417516')","(False, '17238409', '1014027')","(False, '18777503', '1104565')","(False, '18732573', '1101919')","(False, '25398167', '1494015')"
topspin_17_4.d=010,1 13 4 5 6 7 8 9 10 14 2 11 15 12 3 0 16,"(False, '17798474', '1046971')","(False, '16894069', '993774')","(False, '18416849', '1083346')","(False, '23181266', '1363609')","(False, '18834981', '1107943')","(False, '25498377', '1499909')"
topspin_17_4.d=010,3 4 9 10 11 15 12 13 1 2 6 5 8 7 14 0 16,"(False, '17816441', '1048027')","(False, '17101278', '1005962')","(False, '17372437', '1021910')","(False, '17492828', '1028995')","(False, '18969655', '1115865')","(False, '17832165', '1048955')"
topspin_17_4.d=010,0 1 3 4 9 5 2 7 6 10 11 12 13 15 14 8 16,"(False, '17827583', '1048683')","(False, '23683547', '1393154')","(False, '24841085', '1461244')","(False, '17951359', '1055966')","(False, '17858807', '1050520')","(False, '18014813', '1059699')"
topspin_17_4.d=010,13 12 3 0 10 11 2 14 1 4 5 6 7 8 9 15 16,"(False, '22827975', '1342825')","(False, '18361178', '1080074')","(False, '18362058', '1080123')","(False, '19001767', '1117756')","(False, '18974348', '1116140')","(False, '19246214', '1132134')"
topspin_17_4.d=010,10 2 12 5 6 7 8 11 0 9 14 15 1 13 3 4 16,"(False, '24383322', '1434316')","(False, '24633817', '1449054')","(False, '18928940', '1113470')","(False, '19042695', '1120169')","(False, '18989562', '1117035')","(False, '19198232', '1129312')"
topspin_17_4.d=010,2 3 13 11 0 4 5 6 7 8 9 10 14 15 12 1 16,"(False, '24376488', '1433914')","(False, '22954817', '1350291')","(False, '18919233', '1112897')","(False, '19150422', '1126499')","(False, '24300852', '1429466')","(False, '19161370', '1127144')"
topspin_17_4.d=010,9 8 12 13 14 15 2 1 0 5 11 3 7 6 4 10 16,"(False, '24634820', '1449110')","(False, '18580821', '1092994')","(False, '17683435', '1040204')","(False, '18288118', '1075777')","(False, '19010336', '1118257')","(False, '17897820', '1052816')"
topspin_17_4.d=010,15 3 5 4 2 9 10 11 6 14 13 12 8 0 1 7 16,"(False, '18400826', '1082403')","(False, '18642197', '1096605')","(False, '18620067', '1095300')","(False, '25197983', '1482240')","(False, '18993353', '1117258')","(False, '19164346', '1127319')"
topspin_17_4.d=010,11 12 8 7 13 14 15 10 9 5 6 3 2 1 4 0 16,"(False, '24754398', '1456144')","(False, '24610606', '1447688')","(False, '18356975', '1079824')","(False, '23419950', '1377649')","(False, '18919625', '1112922')","(False, '17699117', '1041129')"
topspin_17_4.d=010,8 0 1 2 3 4 5 13 15 7 10 11 9 6 14 12 16,"(False, '24992687', '1470162')","(False, '23896788', '1405697')","(False, '18652613', '1097214')","(False, '24504489', '1441447')","(False, '18853936', '1109057')","(False, '17594372', '1034965')"
