pruning,,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0,topspin_12_4_h0
algorithm,,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar,bfs,bfs,bfs,bfs,bfs,iddfs,iddfs,iddfs,iddfs,iddfs,astar,astar,astar,astar,astar,idastar,idastar,idastar,idastar,idastar
info,,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t,f,g,e,d,t
file,instance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topspin_12_4.d=2000,6 7 4 3 5 2 1 0 9 8 10 11,0,98871579,8239299,8,17.20865821838379,0,106153082,8846093,8,18.201616764068604,1,7872,656,8,1.0030159950256348,1,40465,3375,8,1.0047495365142822,0,98342161,8195180,8,18.210107803344727,0,105701372,8808452,8,18.967726230621338,1,7872,656,8,1.0030884742736816,1,40465,3375,8,1.0050506591796875
topspin_12_4.d=2000,3 0 6 7 8 1 5 4 10 2 9 11,1,93998701,7833225,8,17.196103811264038,1,102544034,8545340,8,18.188668489456177,1,2796,233,8,1.0023949146270752,1,5749,483,8,1.004260778427124,1,93998701,7833225,8,18.196101903915405,1,102544034,8545340,8,19.190600633621216,1,2796,233,8,1.0029010772705078,1,5749,483,8,1.0045082569122314
topspin_12_4.d=2000,5 8 3 2 6 10 0 9 7 1 4 11,0,98740389,8228366,8,17.100513219833374,0,106200979,8850086,8,18.311203956604004,1,65520,5460,10,1.0054724216461182,1,374702,31229,10,1.0084760189056396,0,98455938,8204662,8,16.98543381690979,0,105734967,8811252,8,18.98971128463745,1,65520,5460,10,1.0058560371398926,1,374702,31229,10,1.00819993019104
topspin_12_4.d=2000,9 0 7 10 4 8 2 6 1 3 5 11,0,98655053,8221255,8,17.19406270980835,0,106220736,8851732,8,18.286694288253784,1,463800,38650,12,1.0117814540863037,1,9466074,788844,12,6.034009218215942,0,98455938,8204662,8,18.255176305770874,0,105749905,8812496,8,17.737741947174072,1,463800,38650,12,1.0135376453399658,1,9466074,788844,12,6.0315845012664795
topspin_12_4.d=2000,9 6 10 3 1 7 4 0 8 5 2 11,0,98911054,8242588,8,18.35275101661682,0,106226493,8852212,8,19.1854567527771,1,207180,17265,11,1.0081839561462402,1,1461178,121771,11,1.011178970336914,0,98455938,8204662,8,18.232643842697144,0,105759855,8813325,8,19.017807960510254,1,207180,17265,11,1.0096888542175293,1,1461178,121771,11,1.0117931365966797
topspin_12_4.d=2000,8 5 7 4 9 1 0 2 3 10 6 11,0,98700337,8225028,8,17.107412815093994,0,106258841,8854908,8,19.230653285980225,1,391332,32611,11,1.0109989643096924,1,12607806,1050655,11,8.040852546691895,0,98342161,8195180,8,16.986804008483887,0,105592500,8799378,8,18.906419277191162,1,391332,32611,11,1.0113627910614014,1,12607806,1050655,11,8.042979717254639
topspin_12_4.d=2000,10 1 5 4 3 0 8 9 7 6 2 11,0,98869837,8239153,8,18.363855600357056,0,106219647,8851642,8,18.05022358894348,1,220260,18355,10,1.0106360912322998,1,2804508,233713,10,2.018350601196289,0,98342161,8195180,8,18.21437096595764,0,105696398,8808037,8,18.923425912857056,1,220260,18355,10,1.0091595649719238,1,2804508,233713,10,2.0165650844573975
