pruning,,hanoi4-14_h2,hanoi4-14_h2,hanoi4-14_h1,hanoi4-14_h1,hanoi4-14_h0,hanoi4-14_h0
hanoi_4p14d.d=010,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '11604122', '1934091')","(False, '16922664', '2820535')","(False, '16873763', '2812406')","(False, '13481818', '2247049')","(False, '17538167', '2923138')","(False, '13223808', '2204046')"
hanoi_4p14d.d=2000,1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13008758', '2168175')","(False, '12992116', '2165401')","(False, '11951293', '1991928')","(False, '13146963', '2191250')","(False, '11899052', '1983222')","(False, '13424321', '2237436')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '16500131', '2750053')","(False, '12704846', '2117497')","(False, '12909213', '2151563')","(False, '17804233', '2967411')","(False, '12835471', '2139271')","(False, '13173730', '2195648')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '12736603', '2122778')","(False, '15626513', '2604434')","(False, '12555349', '2092566')","(False, '13129516', '2188260')","(False, '11851885', '1975322')","(False, '12094653', '2015782')"
hanoi_4p14d.d=2000,0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '14527432', '2421583')","(False, '11374734', '1895791')","(False, '16827472', '2804585')","(False, '13116096', '2186022')","(False, '12896062', '2149347')","(False, '12871728', '2145296')"
hanoi_4p14d.d=2000,0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '14715789', '2453748')","(False, '16706499', '2785643')","(False, '12726048', '2122014')","(False, '12184869', '2031720')","(False, '11838749', '1974058')","(False, '16374585', '2730315')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '16050623', '2675110')","(False, '12714144', '2119032')","(False, '11803645', '1967278')","(False, '16856793', '2809475')","(False, '16974727', '2829127')","(False, '12819557', '2136599')"
hanoi_4p14d.d=2000,0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '15521243', '2586884')","(False, '12596084', '2099354')","(False, '16677285', '2779556')","(False, '16986513', '2831101')","(False, '12195893', '2032656')","(False, '12589907', '2098327')"
hanoi_4p14d.d=2000,1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '11719827', '1953334')","(False, '17915145', '2985899')","(False, '17005660', '2834466')","(False, '12168383', '2028096')","(False, '16976130', '2829390')","(False, '12148625', '2024804')"
hanoi_4p14d.d=2000,0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '12064462', '2024233')","(False, '18021885', '3024129')","(False, '13009610', '2183128')","(False, '16381687', '2749060')","(False, '11908058', '1997952')","(False, '12223512', '2052170')"
