pruning,24-puzzle_h0,24-puzzle_h0,24-puzzle_h2,24-puzzle_h2,24-puzzle_h1,24-puzzle_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,14463672.16,14000010.18,14218553.58,14616728.1,14359028.04,14079075.28
std,2136398.7,2106377.01,2159790.27,2183222.93,2116408.03,2011532.44
min,11871475.0,11615009.0,11710809.0,11877174.0,11819836.0,11778172.0
25%,12498845.5,12172297.25,12495127.75,12822943.25,12666834.0,12601876.75
50%,13794699.0,12949732.5,12948351.5,13291694.0,13021590.5,13183039.5
75%,16744326.25,16195741.75,16602707.75,16960282.5,16896098.5,16291113.75
max,17417221.0,17714465.0,17431676.0,17727084.0,17521165.0,18034051.0
