pruning,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50,50,50,50,50,50
unique,2,2,2,2,2,2
top,False,False,False,False,False,False
freq,40,40,40,40,39,40
