pruning,hanoi4-18_h2,hanoi4-18_h2,hanoi4-18_h0,hanoi4-18_h0,hanoi4-18_h1,hanoi4-18_h1
algorithm,astar,idastart,astar,idastart,astar,idastart
count,46.0,46.0,46.0,46.0,46.0,46.0
mean,0.0,0.0,4.0,0.0,4.0,0.0
std,0.0,0.0,0.0,0.0,0.0,0.0
min,0.0,0.0,4.0,0.0,4.0,0.0
25%,0.0,0.0,4.0,0.0,4.0,0.0
50%,0.0,0.0,4.0,0.0,4.0,0.0
75%,0.0,0.0,4.0,0.0,4.0,0.0
max,0.0,0.0,4.0,0.0,4.0,0.0
