pruning,topspin_12_4_h2,topspin_12_4_h2,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h0,topspin_12_4_h0
algorithm,astar,idastart,astar,idastart,astar,idastart
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.0,0.0,4.0,0.0,4.0,0.0
std,0.0,0.0,0.0,0.0,0.0,0.0
min,0.0,0.0,4.0,0.0,4.0,0.0
25%,0.0,0.0,4.0,0.0,4.0,0.0
50%,0.0,0.0,4.0,0.0,4.0,0.0
75%,0.0,0.0,4.0,0.0,4.0,0.0
max,0.0,0.0,4.0,0.0,4.0,0.0
