pruning,topspin_12_4_h2,topspin_12_4_h2,topspin_12_4_h1,topspin_12_4_h1,topspin_12_4_h0,topspin_12_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,16261608.36,16170942.86,15757105.72,15759035.6,15928763.46,15961909.92
std,9039225.61,8866024.2,8669975.95,8604214.36,8819245.03,8735073.84
min,155965.0,170142.0,155965.0,170142.0,155965.0,170142.0
25%,16660912.0,17702543.25,17087005.75,17868363.5,17433742.0,17619822.0
50%,18768883.0,19106903.5,18632683.0,18794177.0,18291964.5,18703254.5
75%,23594794.0,20060801.5,19078081.0,19438992.25,22449310.0,20088373.5
max,26124853.0,26410056.0,25282321.0,26232751.0,26513869.0,26951732.0
