pruning,hanoi4-18_h2,hanoi4-18_h2,hanoi4-18_h0,hanoi4-18_h0,hanoi4-18_h1,hanoi4-18_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,46.0,46.0,46.0,46.0,46.0,46.0
mean,958571.54,986835.63,902585.07,922304.22,912258.07,943574.2
std,1087144.55,1109587.7,1018233.72,1034018.41,1029928.98,1056709.84
min,0.0,0.0,0.0,0.0,0.0,0.0
25%,56.25,70.75,56.25,70.75,56.25,70.75
50%,13235.5,15926.5,13235.5,15926.5,13235.5,15926.5
75%,1969254.5,2026692.75,1917478.25,1871888.25,1842175.25,2005592.75
max,2645792.0,2723541.0,2643894.0,2564696.0,2609363.0,2688408.0
