pruning,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h2,topspin_17_4_h2
algorithm,astar,idastart,astar,idastart,astar,idastart
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,4.0,0.0,4.0,0.0,0.0,0.0
std,0.0,0.0,0.0,0.0,0.0,0.0
min,4.0,0.0,4.0,0.0,0.0,0.0
25%,4.0,0.0,4.0,0.0,0.0,0.0
50%,4.0,0.0,4.0,0.0,0.0,0.0
75%,4.0,0.0,4.0,0.0,0.0,0.0
max,4.0,0.0,4.0,0.0,0.0,0.0
