pruning,15-puzzle_h2,15-puzzle_h2,15-puzzle_h0,15-puzzle_h0,15-puzzle_h1,15-puzzle_h1
algorithm,astar,idastart,astar,idastart,astar,idastart
count,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.0,0.0,15.0,0.0,15.0,0.0
std,0.0,0.0,0.0,0.0,0.0,0.0
min,0.0,0.0,15.0,0.0,15.0,0.0
25%,0.0,0.0,15.0,0.0,15.0,0.0
50%,0.0,0.0,15.0,0.0,15.0,0.0
75%,0.0,0.0,15.0,0.0,15.0,0.0
max,0.0,0.0,15.0,0.0,15.0,0.0
