pruning,algorithm,info,topspin_12_4.d=005,topspin_12_4.d=010,topspin_12_4.d=015,topspin_12_4.d=2000,topspin_12_4.d=2000000
topspin_12_4_h1,bfs,f,1.0,0.2,0.0,0.1,0.0
topspin_12_4_h1,iddfs,f,1.0,0.2,0.0,0.1,0.0
topspin_12_4_h1,astar,f,1.0,1.0,1.0,1.0,1.0
topspin_12_4_h1,idastar,f,1.0,1.0,1.0,1.0,1.0
topspin_12_4_h0,bfs,f,1.0,0.2,0.0,0.1,0.0
topspin_12_4_h0,iddfs,f,1.0,0.2,0.0,0.1,0.0
topspin_12_4_h0,astar,f,1.0,1.0,1.0,1.0,1.0
topspin_12_4_h0,idastar,f,1.0,1.0,1.0,1.0,1.0
topspin_12_4_h1,bfs,g,1351384.6,78751993.4,98355688.8,98306564.1,97971398.7
topspin_12_4_h1,iddfs,g,1474234.5,84561103.9,105654226.7,105857953.7,105467866.1
topspin_12_4_h1,astar,g,501.6,35871.6,122571.6,163153.2,191625.6
topspin_12_4_h1,idastar,g,1131.5,294075.2,1161364.8,2794857.4,4529580.5
topspin_12_4_h0,bfs,g,1351384.6,78621268.0,98312703.3,97952630.5,98198026.1
topspin_12_4_h0,iddfs,g,1474234.5,84434926.7,105578804.0,105384395.3,105554914.7
topspin_12_4_h0,astar,g,501.6,35871.6,122571.6,163153.2,221448.0
topspin_12_4_h0,idastar,g,1131.5,294075.2,1161364.8,2794857.4,4529580.5
topspin_12_4_h1,bfs,e,112615.3,6562666.3,8196307.8,8192214.1,8164283.6
topspin_12_4_h1,iddfs,e,122854.9,7046762.4,8804522.8,8821500.2,8788992.9
topspin_12_4_h1,astar,e,41.8,2989.3,10214.3,13596.1,15968.8
topspin_12_4_h1,idastar,e,96.4,24509.8,96784.7,232909.1,377469.6
topspin_12_4_h0,bfs,e,112615.3,6551772.8,8192725.9,8162719.4,8183169.2
topspin_12_4_h0,iddfs,e,122854.9,7036247.4,8798237.8,8782036.9,8796246.9
topspin_12_4_h0,astar,e,41.8,2989.3,10214.3,13596.1,18454.0
topspin_12_4_h0,idastar,e,96.4,24509.8,96784.7,232909.1,377469.6
topspin_12_4_h1,bfs,t,1.01,13.95,17.35,17.62,17.29
topspin_12_4_h1,iddfs,t,1.01,14.77,18.15,18.67,18.11
topspin_12_4_h1,astar,t,1.0,1.0,1.01,1.01,1.11
topspin_12_4_h1,idastar,t,1.0,1.11,1.41,2.31,3.42
topspin_12_4_h0,bfs,t,1.01,14.25,17.65,17.99,17.66
topspin_12_4_h0,iddfs,t,1.01,14.96,18.53,18.86,18.45
topspin_12_4_h0,astar,t,1.0,1.0,1.01,1.01,1.11
topspin_12_4_h0,idastar,t,1.0,1.11,1.41,2.31,3.52
